,building_name,sold_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,walking_score,transit_score,bike_score,building_description,building_website
135,134-49 Francis Lewis Blvd,"500,000",3,2.5,"569,334","Laurelton,NY",Single Family Residential,"3,200 ",90.0,58.0,53.0,"""Single family Spanish-colonial style home.  Home has 3-bedrooms all located on upper level.  First floor has a formal dining room, living room, kitchen, den and 1/2 bath.  Home also has a finished basement with bathroom, laundry, open space with separate outside entry.""",https://www.redfin.com/NY/Jamaica/134-49-Francis-Lewis-Blvd-11413/home/20690474
136,181-01 144th Ave,"675,000",4,3,"708,797","Springfield Gdns,NY",Multi-Family (2-4 Unit),"4,000 ",63.0,67.0,53.0,"""well maintained two family home on corner property=1st floor, 2 bed room=living=dining=full bathroom with Jacuzzi tub=eat-in-kitchen=2nd floor: 2 bedroom=walk-in-closet=living room=full bathroom=eat in kitchen""",https://www.redfin.com/NY/Jamaica/181-01-144th-Ave-11413/home/20693304
137,118-07 196th St,"530,000",4,2,"545,919","St. Albans,NY",Single Family Residential,"2,375 ",77.0,62.0,51.0,"""Renovated home, 4 bedrooms, 2 bathrooms. Featuring hardwood floors, new windows, gas line, full finished basement with OSE, fenced.  Just move right in!""",https://www.redfin.com/NY/Queens/118-07-196th-St-11412/home/20706077
138,181 Delaware Ave,"810,000",5,3,,"Staten Island,NY",Multi-Family (2-4 Unit),"4,950 ",68.0,70.0,55.0,"""Public Remarks: This two-family house, fully detached half-brick, is situated on a quiet tree line block in the heart of Dongan Hills. The 1st floor features an open concept kitchen, a dining room, and the recreation living room has a granite fireplace. The basement has a built-in sauna room for 4 people. Hardwood floors throughout 1st and 2nd floor. Each room is wired with cable and TV outlets. Two separate gas heating units go throughout the entire house. 1st floor kitchen offers an island counter with three stools. Enormous backyard can host BBQ, and family activities. This property is located 1000 ft from Hylan Blvd, providing easy access to MTA buses like S78, SIM1.. .ect. It is also close to great schools, parks, restaurants, stores, and other conveniences. Take a look at our virtual tour.""",https://www.redfin.com/NY/Staten-Island/181-Delaware-Ave-10304/home/56045120
139,30-11 Parsons Blvd Unit 7P,"380,000",2,1,"390,324","Flushing,NY",Condo/Co-op,,89.0,85.0,64.0,"""Well Kept And Managed Building. Very Quiet Neighborhood Surrounded by million houses. Easy Parking area. Sun drenched South and West corner unit. Very Spacious Living Room And Bedroom. Completely Renovated unit. Excellent Location. Walk To Northern Blvd, Transportation And Shopping. Brand New Windows In Every Room!!  No Flip Tax. Bus Q16, Q22, Q44 To Subway And Lirr Station.""",https://www.redfin.com/NY/Flushing/30-11-Parsons-Blvd-11354/unit-7P/home/20654158
140,2450 E 11 St Unit 1A,,2,2,,"Brooklyn,NY",Condo/Co-op,,94.0,87.0,71.0,"""Beautiful brand new construction condominium.6 unit building. Unit 1A is on the first floor and is a lovely open concept with living/dining room combo, kitchen, 2 bedrooms, 2 full bathrooms, laundry area in apartment, 1055 sq ft. Located in the heart of Sheepshead Bay, close to transportation, shopping and more! Parking is included in the price.""",https://www.redfin.com/NY/Brooklyn/2450-E-11th-St-11235/unit-1A/home/148570710
141,141 Fairbanks Ave,"915,000",4,3,"889,535","Staten Island,NY",Single Family Residential,"5,000 ",34.0,66.0,42.0,"""Public Remarks: Great Location! Dead End Block in Oakwood! Seeing is believing this Pristine larger home!  Featuring  L, R, D/R , cust, lg kitchen/granite counter tops, island, SS appliances, 4 bedroom's, central air, solar, 3 bath's, lg cust. basement/ minpack air unit's, game room, maids quarters, custom yard for entertaining! in ground pool, paver's , pvc fence, home is very energy efficient with LED lighting throughout and fully owned solar panels. Best of all most convenient location to all!""",https://www.redfin.com/NY/Staten-Island/141-Fairbanks-Ave-10306/home/56089049
142,29 Highland Rd,"730,000",3,2,"657,504","Staten Island,NY",Single Family Residential,"10,125 ",81.0,63.0,57.0,"""Public Remarks: Dent Road Area. Situated conveniently to Great Kills Village  &  shopping center, all transportation, express/local buses, train. Very large property on quiet street with private yard, detached garage. 3 bedroom home. Property frontage is 75 feet. R3X district. Home needs work.""",https://www.redfin.com/NY/Staten-Island/29-Highland-Rd-10308/home/56019095
143,137-44 224th St,"870,000",5,3,"876,633","Laurelton,NY",Multi-Family (2-4 Unit),"5,160 ",76.0,61.0,52.0,,https://www.redfin.com/NY/Queens/137-44-224th-St-11413/home/20691403
144,111-15 212th St,"555,000",4,2,"586,313","Queens Village,NY",Single Family Residential,"3,000 ",67.0,62.0,54.0,"""Lovely, Bright, Airy, Well Maintained Colonial Featuring 4 Bedrooms, 2 Full Baths, Formal Living Room, Formal Dining Room, Den, Beautiful Kitchen, Hardwood Floors Throughout, Master Bedroom With His And Hers Closet, Main Bathroom With Jacuzzi, Oil Heat, New Hot Water Heater, Partially Covered Patio For Outdoor Entertaining, Key Code Entry, Cameras For Security, 1 Car Garage, Full Finished Basement With Complete Bar & Laundry Room + Outside entrance - Too Much To List!""",https://www.redfin.com/NY/Queens/111-15-212th-St-11429/home/20732001
145,79-39 78th Ave,"785,000",5,2,"844,698","Glendale,NY",Multi-Family (2-4 Unit),"2,000 ",79.0,62.0,78.0,"""Large move in condition solid brick 2 Family house For Sale. FULLY VACANT READY TO SELL . Located in the heart of Glendale, close to all transportation, highways and shops. House features 3 bedrooms over 2 bedrooms, full Basement and Large backyard""",https://www.redfin.com/NY/Queens/79-39-78th-Ave-11385/home/20877064
146,117-01 Park Lane South Unit B2M,"440,000",2,2,"469,488","Kew Gardens,NY",Condo/Co-op,,90.0,96.0,51.0,"""Huge 2 Bedrooms with 2 Full Baths in Building B Which Overlooks the Gorgeous Forest Park. The Second Floor Apartment is Bright and Airy with Captivating Park Views. The Apt.is being Sold Way Below Market Value Because it is in Original Condition and can be Updated to Suit Your Taste.Hampton Court Consists of Four Georgian Style Buildings  Placed in a Large and Beautiful courtyard. The Property is known for its Well-kept buildings, Landscaping Design, and Round the Clock Security.""",https://www.redfin.com/NY/Richmond-Hill/11701-Park-Ln-S-11418/unit-B2M/home/170054544
147,16 Walker Pl,"671,000",4,3,"710,698","Staten Island,NY",Multi-Family (2-4 Unit),"4,200 ",48.0,52.0,43.0,"""Public Remarks: THIS CHARMING 2 FAMILY DETACHED HI RANCH  SITTING IN THE HEART OF HUGUENOT HAS SO VERY MUCH TO OFFER!  MAIN UNIT HAS 3 BEDROOMS, 2 BATHS, FAMILY ROOM, FORMAL LIVING ROOM AND DINING ROOM AND AN EAT IN KITCHEN. FLORIDA ROOM OFF THE SECOND FLOOR. PART OF THE BUILT IN GARAGE WAS USED FOR ANOTHER BEDROOM. THE RENTAL IS A LARGE ONE BEDROOM APARTMENT, WITH A HUGE LIVING ROOM , EAT IN KITCHEN AND A FULL BATH. BEAUTIFUL SERENE YARD, CONVENIENTLY LOCATED!   LEVEL DESCRIPTION: LEVEL 1: FAMILY ROOM WITH 3/4 BATH, GARAGE (PARTLY FINISHED AS BEDROOM, DOOR STILL OPERATIONAL INSIDE FOR STORAGE). 1 BEDROOM APARTMENT. LEVEL 2:  LR, FDR, EIK, MBR, BR, BR, NEW FULL BATH, DOOR TO FLORIDA ROOM, YARD ACCESS. ATTIC STORAGE, FLOORED. NEW CENTRAL AIR, REPLACEMENT WINDOWS, SOME ANDERSON. PRICED TO SELL!!""",https://www.redfin.com/NY/Staten-Island/16-Walker-Pl-10312/home/56073458
148,270 Rice Ave,"760,000",3,2,"769,700","Staten Island,NY",Single Family Residential,"3,800 ",81.0,62.0,46.0,"""Public Remarks: Mint  &  Move-In-Ready 3 Bedroom Colonial In Heart Of Castleton Corners! Beautifully Updated, Painted And Polished. New Custom Kitchen W/ Stunning Appliances, Radiant Heat Floor  &  10 Ft Pella Sliding Glass Door. Wood Burning Fireplace, Decorative Crown Moldings  &  Hardwood Floors W/ Chestnut Trim In 19' X 21' Living Room -- Entertain In Style! Finished Attic From Master Bedroom. Huge 13' X 11' Full Main Bath W/ Jacuzzi Tub  &  Standing Shower. Full Finished Basement W/ 3/4 Bath. All New Windows, New Heating System, &  New Mitsubishi Ductless AC Units. Fully Paved Driveway  &  Maintenance-Free Backyard Plus Detached Garage. A Home To Own With Pride!""",https://www.redfin.com/NY/Staten-Island/270-Rice-Ave-10314/home/56045643
149,3 Silver Lake Rd,"680,000",3,2,"667,960","Staten Island,NY",Single Family Residential,"3,960 ",74.0,68.0,35.0,"""Public Remarks: Oh honey stop the car, look at this gorgeous all brick 3 to 4  bedroom, With whirlpool and jet shower. Fabulous upgraded kitchen with granite counter that leads into a large eat in area. Pella sliders that lead to a gorgeous yard with top of the line Trex deck Enjoy the views of City with second door that leads to a hug side yard. Large living and dining room with oak floors, large windows, large master bedroom, large bedroom, and then third bedroom. This home also features an above ground first level office or extra room with door and new full bath. The home also has a large bar in a completely finished basement. This home has two zone hot water heat, cast iron baseboard, two separate zone plus 1 zone radiant heat, 3 zone central air conditioning. total 2 new baths. 2 full baths, garage, The home also has spectacular landscaping that has a five zone sprinkler system. Home has hardwood floors throughout . Both bathrooms and kitchen were done 3 to 4 years ago. Hot water tank.""",https://www.redfin.com/NY/Staten-Island/3-Silver-Lake-Rd-10301/home/56058175
150,109-44 157th St,"315,000",3,1.5,"427,533","Jamaica,NY",Single Family Residential,"2,500 ",72.0,87.0,51.0,"""Subject is A Single Family Detached Colonial With Approximate 1172 Sq.Ft-Set Up As A Mother And Daughter With A Full Finished Basement and Finish Attic with 2 Rooms. Don't Miss Out On This Opportunity To Purchase A Home At A Very Affordable Price And Customize It To Your Likeness!!!""",https://www.redfin.com/NY/Queens/109-44-157th-St-11433/home/20713824
151,18-05 215th St Unit 4N,"525,000",2,2,"533,483","Bayside,NY",Condo/Co-op,,62.0,49.0,64.0,"""Luxury Building @ The Towers Of Waters Edge, Most Desirable Largest 2 Bedroom 2 Bath Deluxe Corner Unit. Renovated Kitchen, Formal Dining Room, Wood Floors. Cac, 24 Hr Doorman, On Site 24 Hr. Security . Oversized Double Terrace With Unobstructed Gorgeous Water Views Of Little Neck Bay, Restaurant/Deli/Grocery Store. Beauty Spa, Pool, Gym, Tennis, Party Rm. Close To All Shopping And Transportation. Priced To Sell""",https://www.redfin.com/NY/Flushing/1805-215th-St-11360/unit-4N/home/146975851
152,2386 Stillwell Ave,,5,2,"667,713","Brooklyn,NY",Multi-Family (2-4 Unit),,80.0,100.0,66.0,"""THIS TWO STORY 2 FAMILY BRICK HOME LOCATED BETWEEN BAY 49th & BAY 50th STREET. THE SUBJECT PROPERTY HAS A BUILDING SIZE OF 20x50. (2,000 PLUS LIVABLE SQ FEET) ON A LOT SIZE OF 20x96 (1,920 SQ FEET). Could be sold as a package deal with land next door. THE PROPERTY WILL BE DELIVERED VACANT, HAS GREAT POTENTIAL AND OFFERS ENDLESS OPPORTUNITIES FOR INVESTORS/ RESIDENTS. OUTSIDE THERE IS A BIG BACKYARD WITH SEPARATE ENTRANCE TO BASEMENT, VERY SPACIOUS SCREENED IN PORCH ON SECOND FLOOR. CONVENIENTLY LOCATED CLOSE TO ALL, TRANSPORTATION, D-TRAIN & CONEY ISLAND TRAIN HUB, AND 86TH STREET SHOPPING. P.S. 212 AND BELT PKWY. LOT: 20x96.25. BUILDING: 20x50. APPROX. BUILDING SQ FT: 2,000. EST. ANNUAL TAXES: $2,166. EST. ANNUAL INSURANCE: $5,158.52. EST. ANNUAL WATER/SEWER: $1,294. EST. ANNUAL FUEL/GAS: $4,301. ZONING: R5. APPROX. YEAR BUILT: 1931. STORIES: 2.""",https://www.redfin.com/NY/Brooklyn/2386-Stillwell-Ave-11223/home/168347770
153,2930 W 5 St Unit 20C,,2,1.5,,"Brooklyn,NY",Condo/Co-op,,84.0,100.0,74.0,"""GORGEOUS, RENOVATED 2 Bedroom / 2 Bathroom Unit.  LOCATED in TRUMP VILLAGE SECTION 4.  HIGH FLOOR, MODERN RENOVATION.  MUST SEE.  Well maintained building with elevators, security 24/7 in lobby, recently renovated laundry room, children playroom,   Apartment has BALCONY, Modern renovation, custom kitchen, SS appliances, stone counter top, large tile flooring.   Beautiful wood floors, ceiling lighting, custom bathrooms, custom wall paint, plenty of closet space. Master Bedroom has Ocean view, Walk-in closet, private bathroom.  Minutes to beaches, trains, shopping, etc . All utilities are included in maintenance  Show and Sell.""",https://www.redfin.com/NY/Brooklyn/2930-W-5th-St-11224/unit-20C/home/40666687
154,3902 Cypress Ave,,7,2.5,"878,971","Brooklyn,NY",Single Family Residential,"4,200 ",32.0,46.0,39.0,"""Fully Renovated & Beautifully Elegant, 1 Family Duplex Home located on the corner of Cypress & Highland Avenue. Unpack your Bags & Move Right In to this Gorgeous, Customized Home!  First floor boasts a Eat-In Kitchen with a Lovely View of the Backyard from the Sliding Doors. Kitchen consists of High End Appliances & Separate Sinks. Kitchen can accommodate a full size dining table & chairs. Open Concept Living Room & Dining Room to host many guests. There are 2 Bedrooms and 1 Full Tile Bath on the first floor. Second floor consists of Five  additional Bedrooms, 2 Full Bathrooms and a 1/4 Bath. Master Bedroom has a Walk-In Closet and Full Ensuite Bath with Several Windows and Plenty of Sunlight! Two Bedrooms have Access to the Oversized Terrace which is Perfect for Enjoying your Morning Coffee! Tons of Closet Space & Windows Throughout. Seagate is a Private, Gated Community w/ Security Patrol & access to a Members Club which consists of a Pool, Private Beach access, Tennis Court & Park. The nearest subway stop, which offers the D, F, Q and N trains, is about a mile and a half away, with the B36 and B74 buses taking commuters there from the neighborhood's gates. There is also an X28 express bus to Midtown Manhattan from Neptune Avenue.""",https://www.redfin.com/NY/Brooklyn/3902-Cypress-Ave-11224/home/40850630
155,24109 Oak Park Dr Unit B,"690,000",2,2,"711,897","Douglaston,NY",Condo/Co-op,,22.0,47.0,28.0,"""Welcome to this gorgeous Beechwood Model in Oak Park at Douglaston. This model features grand cathedral ceilings in the living room and dining areas, an updated kitchen with stainless steel appliances and granite countertops, a master suite with a full bathroom, walk in closet and terrace, a second bedroom, a second bathroom, hardwood floors throughout, custom closets, attic for storage and a separate laundry closet. Community amenities galore. You don't want to miss this one!""",https://www.redfin.com/NY/Little-Neck/24109-Oak-Park-Dr-11362/unit-B/home/172062032
156,1005 East 19 St,,6,4,"1,573,159","Brooklyn,NY",Single Family Residential,"6,288 ",83.0,97.0,66.0,"""Extraordinary potential to be your dream home on this massive. oversized 50x125 lot. As you enter to this side-center hall youÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢ll notice the spacious high ceiling living room, with beautiful dining room. The dining room brings you to a lovely den, and a large eat-in-kitchen with a lot of windows, and sliding door which lets out to the spacious porch and large backyard. The Second floor features 3 nicely sized bedrooms, and 1.5 bathrooms. The 3rd floor brings you to two additional nicely sized bedrooms, and 1 full bath. This home also features a finished basement with a family room, bathroom, and bedroom, as well as a  private driveway and 2 car garage.""",https://www.redfin.com/NY/Brooklyn/1005-E-19th-St-11230/home/40842493
157,16 Meisner Ave,"630,000",3,3,"739,322","Staten Island,NY",Single Family Residential,,22.0,45.0,19.0,"""Public Remarks: SPACIOUS SPLIT-LEVEL 3 BEDROOM HOME LOCATED ON A SERENE 13,875 SQ. FT. PARK-LIKE PROPERTY ON PRESTIGIOUS LIGHTHOUSE HILL! LIVING ROOM, DINING ROOM, FAMILY ROOM  &  KITCHEN ON FIRST FLOOR, TWO BEDROOMS  &  FULL BATH ON SECOND FLOOR, MASTER BEDROOM  &  MASTER BATHROOM ON THIRD FLOOR.""",https://www.redfin.com/NY/Staten-Island/16-Meisner-Ave-10306/home/77403394
158,4331 Bedford Ave,,3,3,"1,077,386","Brooklyn,NY",Single Family Residential,"2,000 ",88.0,78.0,68.0,"""We are pleased to introduce Sheepshead Bay's finest gut renovated home which features over 2000 interior square feet of pure luxurious modern living space with the finest amenities available.  1st floor features a foyer w/high arched ceiling, open floor layout,  tiled built in electric fireplace, in ceiling Theater Surround Sound, large dining area, and wall hung toilet with floor to ceiling imported tile.  High end Chef's kitchen featuring a 36"" Sub Zero Refrigerator, 36"" Wolf Range with griddle, and all the bells and whistles for an amazing place to entertain.  The entire kitchen is covered in rare Quartzite stone on the countertops, backsplash and stunning waterfall island.  Large oversized sliding door opens from dining area to covered Bluestone deck in rear.  2nd floor features a master bedroom with walk-in closet and huge oversized windows and two additional bedrooms.  The master bathroom is covered in floor to ceiling tile and stone featuring a large lavish soaking tub, huge walk in shower and built in rain shower ceiling.  The basement is set up as a great room with open layout, separate entrance/exit, ample closets for storage and very functional 3/4 bath and shower.  The yard is an oasis that has Bluestone pavers, outdoor lighting and meticulous landscaping. Oak wood floors on 1st and 2nd floor, Italian Porcelain tiles in basement and custom interior and exterior wrought iron railings.  Multiple zone central air conditioning and state of the art Radiant heating system throughout entire home powered by Smart WiFi Thermostats. Tankless Navien Boiler/Water Hater, LED recessed lighting and fixtures.New Plumbing/New 200 Amp Electrical Service, new roof and gutters, high tech alarm system/HD Sec. cameras and video intercom.  Energy efficient Sierra Pacific Windows w/ Hunter Douglas window treatments.  Custom garage door w/opener.  Built in speaker system throughout house and yard.  Modern stone and stucco exterior. New Pavers and concrete surrounding as well.""",https://www.redfin.com/NY/Brooklyn/4331-Bedford-Ave-11229/home/40864103
159,107-51 135th St,"560,000",3,1.5,,"Richmond Hill S.,NY",Single Family Residential,,94.0,100.0,63.0,"""3 Bedrooms, 1 Full Bath, Living Room, Formal Dining Room, EIK, Attic, Full Finished Basement.""",https://www.redfin.com/NY/Jamaica/10751-135th-St-11418/home/171409444
160,409 Applegate Ct,,3,1.75,"801,702","Brooklyn,NY",Single Family Residential,"1,500 ",89.0,98.0,69.0,"""Immaculate single family, semi-detached home on a private court, sideblock with a shared driveway, fully detached garage with electric power and backyard in Gravesend. First floor features a wide open dining and living room layout with eat-in-kitchen. Second floor boasts 3 generous bedrooms and full bath. Finished basement features summer kitchen, 3/4 bath and spare room. This home showcases 9 ft ceilings, hardwood floors and extra built-in cabinets in the kitchen. Close to stores, transportation and schools. Lot: 20'x75'. Building: 16'x34'. Approx. Building Sq Ft: 1,182. Est. Annual Taxes: $3,900. Zoning: R4-1. Approx. Year Built: 1925. Stories: 2.""",https://www.redfin.com/NY/Brooklyn/409-Applegate-Ct-11223/home/40853133
161,213-40 29 Ave,"860,000",3,2.5,"968,300","Bayside,NY",Multi-Family (2-4 Unit),"2,352 ",72.0,49.0,55.0,,https://www.redfin.com/NY/Flushing/213-40-29th-Ave-11360/home/20835573
162,7428 220 St Unit 340B2,"349,200",2,1,"355,288","Bayside,NY",Condo/Co-op,,73.0,59.0,70.0,"""Welcome to this Bright Upper 2 Bedroom in Excellent, Move-In Condition with hardwood floors! It's the Largest of the units in Beautiful Windsor Oaks, located on a lovely tree-lined street, nestled in a quiet courtyard.  There is a Large Sunny Living Room with Dining Area, recently renovated eat-in kitchen with Stainless Steel appliances, Master Bedroom with double exposure, and a spacious 2nd bedroom.  Bonus: attic for storage! Coop has all new windows and doors. Perfectly located: only a few short blocks away from schools, shops, restaurants, bus stops, express bus to NYC, and gorgeous Alley Pond Park.  EXQUISITE FIND!""",https://www.redfin.com/NY/Oakland-Gardens/74-28-220th-St-11364/unit-340B2/home/63686238
163,81-39 268 Unit 1st FL,"289,000",1,1,,"Floral Park,NY",Condo/Co-op,,80.0,54.0,67.0,"""SPONSOR SALE - NO BOARD APPROVAL   Custom Designer Renovation! Must see one bedroom garden co-op on the first floor in Langdale Gardens. The entire unit has just been newly renovated using modern and high-end design. The large eat-in-kitchen has gorgeous white shaker cabinets, stainless steel appliances and quartz counters. The bathroom has all new tile, fixtures and plumbing. Ample closet space and stunning hardwood floors complete the beautiful look. This is a corner unit filled with windows and light. It is located on a residential block in suburban Floral Park with plenty of parking.""",https://www.redfin.com/NY/Floral-Park/8139-268-11004/unit-1st-FL/home/172730967
164,198 Elm St,"450,000",3,2,"526,398","Staten Island,NY",Single Family Residential,"4,620 ",78.0,62.0,49.0,"""Public Remarks: One family detached  home with oversized property. Great potential for this home. 3 bedrooms, 2 full bathrooms, eat in kitchen. Close to all shopping and public transportation.""",https://www.redfin.com/NY/Staten-Island/198-Elm-St-10310/home/56013770
165,10 E 43 St Unit 4D,,3,1,,"Brooklyn,NY",Condo/Co-op,,78.0,88.0,56.0,"""East Flatbush- Spacious 3 bdrm apt w/entry foyer, LR, Eat-in-kitchen & full bath. Laundry rm in bldg. 24 hr security. No pets, no subleasing. Close to Kings County Hospital, near 2/5 trains, multiple buses & shopping.""",https://www.redfin.com/NY/Brooklyn/10-E-43rd-St-11203/unit-4D/home/143399892
166,218-03 104 Ave,"568,000",3,2.5,"598,424","Queens Village,NY",Single Family Residential,"3,000 ",84.0,74.0,60.0,"""EXCELLENT ONE DETACHED FAMILY HOUSE READY TO MOVE WITHIN THE HEART AND THE BEST AREA OF QUEENS VILLAGE, THIS CHARMING PROPERTY IS FEATURING 3 BEDROOM, WITH WALL UNIT CLOSET IN THE MASTER BEDROOM, 2.5 BATH, HARD WOOD FLOOR, A RECENTLY RENOVATED KITCHEN WITH MARBLE COUNTERTOP, SLIDING DOOR OPEN TO THE BACK YARD, 2 CAR GARAGE Private Driveway WITH POSSIBLE 4 CAR capacity, A NICE BACK YARD, CLOSE TO MAJOR HIGHWAYS, close to TRANSPORTATION AND MANY MORE.  YOU BETTER SEE IT !!!!""",https://www.redfin.com/NY/Queens/218-03-104th-Ave-11429/home/20737002
167,78-37 64 St,"561,800",3,1.5,"642,192","Glendale,NY",Single Family Residential,"2,400 ",84.0,75.0,65.0,"""Highly Motivated seller ! Welcome cash Investors, buyers ! One family Det, Colonial Home with new roof, new heating water system, new front window. Good working condition boiler, full finished basement w/half of bathroom & access to the yard, 3 bedrooms, 1 full bath, Enclosed Porch w/new window, LR, Formal DR, EIK w/access to the yard. Fully Det 1 car garage, Long PVT, Stand up Attic.House needs TLC.Very convenient location to public transportation, shopping.""",https://www.redfin.com/NY/Queens/78-37-64th-St-11385/home/20878186
168,11 Ely Ave,"519,000",3,2,"609,132","Staten Island,NY",Single Family Residential,"4,110 ",56.0,55.0,44.0,"""Public Remarks: 20188H-Why own a townhouse when you could own a single family in the heart of Annadale. Priced low to sell ''as is'' for the buyer who wants an incredible deal on a great property in a much desired location. This home offers a resort sized yard with pool and deck, making it perfect for entertaining. Three Plentiful sized Bedrooms, hardwood floors throughout, two car driveway, ample parking, with train access only a block away for commuters. Show  &  Sell.""",https://www.redfin.com/NY/Staten-Island/11-Ely-Ave-10312/home/56033964
169,33 Vanessa Ln,"470,000",3,2,"461,013","Staten Island,NY",Single Family Residential,"2,250 ",72.0,64.0,45.0,"""Public Remarks: Location, Location! Most convenient to all! Pristine single family home inspired design is truly remarkable inside and out. Recent updates include new carpeting and stainless appliances. Features include grey cabinets with crystal knobs, custom windows provide plenty of natural lighting, outside deck, combination of dining room with kitchen, full finished basement, 3 bedrooms, tons of storage, and one car driveway. High demand area on the south shore. Family-oriented private block. .. located in the heart of Eltingville close to all shopping, and dining. Schedule a tour today!""",https://www.redfin.com/NY/Staten-Island/33-Vanessa-Ln-10312/home/56057242
170,403 Taylor Ave,"690,000",6,4,"733,724","BRONX,NY",Multi-Family (2-4 Unit),"1,950 ",71.0,,61.0,"""Fantastic large all brick multifamily home.  First unit is on the first floor and offers easy access to this 2 bed room rental unit.  Entrance to the finish basement and utility room is also on the same floor.  Principal duplex unit entrance is on the second floor.  This unit offers full size living room with hard wood floors, updated kitchen and bath.  Full bath with two good size bed rooms on this floor. The third floor offers a complete master suite with ample closet space.  Second bedroom on the 3rd floor also has its own full bath room and a balcony facing the front of the home.  Parking for a minimum of 5 vehicles available.  Private fencing can easily be placed to create entertaining area.  Great home for living in one unit and renting the other or as an investment property. Accept Offer 3/9/2020""",https://www.redfin.com/NY/The-Bronx/403-Taylor-Ave-10473/home/44770609
171,461 Woodrow Rd,"670,000",3,4,"673,787","Staten Island,NY",Single Family Residential,"3,050 ",46.0,48.0,33.0,"""Public Remarks: Spacious semi (16x59) on an oversized lot! (25x122) First level features a living room dining room combination with a half bath off of eat-in kitchen with bonus family room which is extremely rare for semi attached homes! family room features a gas fireplace with sliders for yard access. Level two features three spacious bedrooms the master features its own personal three-quarter bath with a walk-in closet there is an additional full bath on level two as well! Fully finished basement features 2 car garage access along with an additional three-quarter bath and yard access! (Can possibly be sold bundled with attached 463)""",https://www.redfin.com/NY/Staten-Island/461-Woodrow-Rd-10312/home/56121125
172,365 Aspen Knolls Way,"255,000",1,2,"306,406","Staten Island,NY",Single Family Residential,362 ,33.0,57.0,32.0,"""Public Remarks: Beautiful end unit townhouse in culdesac across from pool. Home has a high efficiency tankless hot water heater approx 2 years old. 2 stage furnace, and central air less than 1 year old. King size master bedroom with walk in closet and Hardwood floors. home is an end unit features plenty of parking diagnoally across from pool. Great for first time buyers or downsizing stop throwing away money renting !! Close to all transportation and shopping. Just unpack and move in !!""",https://www.redfin.com/NY/Staten-Island/365-Aspen-Knolls-Way-10312/home/56129533
173,91 Highland Rd,"738,000",3,3,"763,230","Staten Island,NY",Multi-Family (2-4 Unit),"4,675 ",72.0,63.0,53.0,"""Public Remarks: Large home in Excellent condition. Prime area in Great Kills (Dent Rd Area) HOME IS TREMENDOUS! 16x68 SITUATED ON A VERY LARGE LOT 25X187, Ocean views from backyard and MBR suite. New roof, kitchen appliances, newer Central AC LV1: Front balcony, all wood floors, living rm, dining rm, new 1/2 bath, large new EIK with SS appliances, large family room w wood burning fireplace, slider to huge backyard, trex deck, gazebo, new above ground salt water heated pool, little garden, patio, shed. LV2: All new wood floors, 3 bedrooms, MBR suite with WIC and private 3/4 bath. 2 large bedrooms that each easily fit 2 beds, full bath Large floored attic for storage Basement: garage, laundry, utilities, Vacant side apt 1 BR with LR, Kit  &  bath could rent for $1400, separate utilities VACANT""",https://www.redfin.com/NY/Staten-Island/91-Highland-Rd-10308/home/56134138
174,1964 E 28 St,,3,2.5,"844,528","Brooklyn,NY",Single Family Residential,"1,775 ",91.0,84.0,78.0,"""Beautiful 1 family brick attached duplex house for sale. Custom made kitchen with Stainless Steel appliances. High hat lights throughout the 1st floor. Fully tiled bathroom with Jacuzzi tub.  Beautiful hardwood floors.  Spacious 3 bedrooms (closet in every bedroom) and full bathroom are located on the second floor.  Living room, dining room, half a bathroom and kitchen are located on the 1st floor. There is a full finished basement with high ceilings, full bathroom with bath tub, full eat in kitchen with granite counter top, separate entrance to the basement and separate boiler room. There is a detached garage with new garage door and nice back yard with a beautiful private terrace. The house is in great move-in condition. Updated beautiful wood staircase.  New washer machine.  Conveniently located to shopping, schools and transportation.  Close to Nostrand Ave supermarkets.  Close to B & Q trains: about 15 min walk.  Close to buses.  Close to schools and parks.  Fast car ride to Emmons Ave Bay or Brighton Beach and Manhattan Beach.  Must see!  Don't miss!""",https://www.redfin.com/NY/Brooklyn/1964-E-28th-St-11229/home/40860727
175,180 Hamden Ave,"685,000",4,2,"721,528","Staten Island,NY",Multi-Family (2-4 Unit),"4,000 ",75.0,72.0,66.0,"""Public Remarks: Live in a peaceful desirable neighborhood, close to express buses, train, shopping, restaurants. Large 2 family with 2 apts, each with 2 bedrooms  &  separate living rooms. 1ST floor apt features charming stone fireplace, screened in porch, new bathroom, roomy eat in kitchen. Live here  &  have rental income or restore back to large 4-bedroom home. Full basement with high ceiling, ideal for extra big family room. New hot water tanks, new furnaces. 2 car garage has 220 electric: great for a workshop, hobbies or rental.""",https://www.redfin.com/NY/Staten-Island/180-Hamden-Ave-10306/home/56076684
